Tenure,Age,Category,Gender,Department,Dept_Ratio,Amount,Class
1958,32,0,0,13,0.006,39.3733,Non-active
3894,61,1,1,28,0.046,23.0003,Non-active
1672,22,2,0,17,0.03,21.3228,Non-active
1116,30,2,1,27,0.012,21.3228,Non-active
1795,24,2,0,21,0.014,28.339,Non-active
5824,68,0,1,24,0.011,42.5983,Non-active
6439,53,0,0,11,0.096,22.5303,Active
1914,24,2,1,37,0.099,21.3228,Non-active
1784,24,2,1,37,0.099,21.3228,Non-active
1455,53,2,1,29,0.195,20.1415,Non-active
2389,43,0,0,16,0.011,36.1483,Non-active
5314,65,0,1,21,0.014,36.1483,Non-active
2196,59,2,1,27,0.012,21.3228,Non-active
2060,48,0,0,29,0.195,23.3901,Non-active
7427,60,0,1,21,0.014,31.6357,Non-active
1070,22,2,1,39,0.13,21.3228,Non-active
1146,27,0,0,30,0.025,25.8709,Active
1408,24,2,0,28,0.046,21.0089,Non-active
2970,35,1,1,21,0.014,26.027,Non-active
1095,26,2,0,38,0.012,23.3901,Non-active
8568,65,0,1,11,0.096,30.3363,Non-active
6066,64,2,1,33,0.155,20.1415,Non-active
3137,59,2,1,33,0.155,20.7097,Non-active
5535,55,0,1,16,0.011,36.1483,Active
8361,53,1,0,4,0.027,45.1854,Non-active
4426,50,2,1,33,0.155,20.7097,Active
2289,66,2,1,29,0.195,20.1415,Non-active
9630,61,0,0,40,0.009,40.342,Active
772,24,2,1,17,0.03,25.1385,Non-active
2252,25,2,0,11,0.096,20.1415,Non-active
1773,23,2,1,37,0.099,21.3228,Non-active
4543,61,2,0,39,0.13,25.1385,Non-active
850,21,2,0,38,0.012,21.3228,Non-active
1095,39,2,1,29,0.195,20.1415,Non-active
9557,71,0,1,1,0.019,40.342,Active
1887,43,1,1,3,0.006,28.7178,Non-active
840,34,0,0,17,0.03,33.5613,Non-active
1422,24,2,1,28,0.046,20.3549,Non-active
467,27,2,0,11,0.096,20.1415,Non-active
1270,23,2,0,1,0.019,20.3549,Non-active
1137,23,2,0,39,0.13,25.1385,Non-active
2051,23,2,0,28,0.046,20.3549,Non-active
807,24,2,0,39,0.13,21.3228,Non-active
897,23,2,1,39,0.13,21.3228,Non-active
